metric,value,generated_at
crawl_targets,100.0,2026-08-19T04:46:36.227580+00:00
pages_fetched,93.0,2026-08-19T04:46:36.227580+00:00
pages_not_modified,7.0,2026-08-19T04:46:36.227580+00:00
verified_recipe_responses,90.0,2026-08-19T04:46:36.227580+00:00
crawl_errors,0.0,2026-08-19T04:46:36.227580+00:00
crawl_success_rate,0.9,2026-08-19T04:46:36.227580+00:00
extract_success_rate,0.9,2026-08-19T04:46:36.227580+00:00
ranking_eligible_rate,1.0,2026-08-19T04:46:36.227580+00:00
evidence_conflict_rate,0.0,2026-08-19T04:46:36.227580+00:00
robots_denials,0.0,2026-08-19T04:46:36.227580+00:00
http_403,0.0,2026-08-19T04:46:36.227580+00:00
http_429,0.0,2026-08-19T04:46:36.227580+00:00
mean_fetch_seconds_per_target,0.5514433106575963,2026-08-19T04:46:36.227580+00:00
p95_fetch_seconds_per_target,1.1757142857142857,2026-08-19T04:46:36.227580+00:00
configured_recipes,274.0,2026-08-19T04:46:36.227580+00:00
ranked_recipes,274.0,2026-08-19T04:46:36.227580+00:00
anomalies,8.0,2026-08-19T04:46:36.227580+00:00
legacy_evidence_pending,0.0,2026-08-19T04:46:36.227580+00:00
sources_checked_24h,38.0,2026-08-19T04:46:36.227580+00:00
sources_successful_24h,38.0,2026-08-19T04:46:36.227580+00:00
sources_healthy_last_check,38.0,2026-08-19T04:46:36.227580+00:00
sources_stale_24h,0.0,2026-08-19T04:46:36.227580+00:00
sources_stale_7d,0.0,2026-08-19T04:46:36.227580+00:00
dom_structure_changes,8.0,2026-08-19T04:46:36.227580+00:00
schema_structure_changes,0.0,2026-08-19T04:46:36.227580+00:00
