source,runs_sampled,run_success_rate,known_recipes,mean_evidence_confidence,legacy_evidence_pending,anomalies_recent,source_rating_mean,category_adjusted_source_bias,last_checked_at,hours_since_last_check,healthy_at_last_check,current_targets,current_verified,current_status,current_dom_structure_changes,current_schema_structure_changes
allrecipes.com,6,1.0,86,0.65,0,18,4.530667255756015,-0.12614246221012865,2026-08-19T05:02:49.320697+00:00,0.01760365638888889,True,19.0,19.0,ok,6,0
ambitiouskitchen.com,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
bbcgoodfood.com,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
budgetbytes.com,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
cookingclassy.com,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
delish.com,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
diethood.com,4,1.0,64,0.65,0,0,4.723158184858868,0.02784292170643155,2026-08-19T04:46:36.227580+00:00,0.28790730000000003,True,,,not_checked_this_run,0,0
dinneratthezoo.com,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
downshiftology.com,6,1.0,5,0.65,0,0,4.966606389677958,0.05972493404557321,2026-08-19T05:02:49.320697+00:00,0.01760365638888889,True,3.0,3.0,ok,0,0
eatingbirdfood.com,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
eatingwell.com,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
feelgoodfoodie.net,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
foodandwine.com,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
foodnetwork.com,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
gimmesomeoven.com,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
iheartnaptime.net,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
jocooks.com,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
kristineskitchenblog.com,2,1.0,50,0.65,0,0,4.900406541771254,0.15,2026-08-19T04:07:54.568060+00:00,0.9328127222222221,True,,,not_checked_this_run,0,0
lecremedelacrumb.com,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
loveandlemons.com,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
melskitchencafe.com,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
natashaskitchen.com,5,1.0,11,0.65,0,1,4.960797070326692,0.09320278897103623,2026-08-19T05:02:49.320697+00:00,0.01760365638888889,True,7.0,7.0,ok,0,0
pinchofyum.com,5,1.0,21,0.65,0,1,4.609550310542772,-0.0383535759376376,2026-08-19T05:02:49.320697+00:00,0.01760365638888889,True,3.0,3.0,ok,1,0
platedcravings.com,2,1.0,6,0.65,0,0,4.8685994985350165,0.04395057834483008,2026-08-19T04:46:36.227580+00:00,0.28790730000000003,True,,,not_checked_this_run,0,0
rachelcooks.com,1,1.0,0,,0,0,,,2026-08-19T02:35:00.249379+00:00,2.4812345780555556,True,,,not_checked_this_run,0,0
