source,targets,fetched,not_modified,verified_recipes,conflicts,missing,errors,http_403,http_429,dom_structure_changes,schema_structure_changes,legacy_backfill_targets,legacy_backfill_resolved,robots_status,status,elapsed_seconds
allrecipes.com,19.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,ok,12.73
foodnetwork.com,,,,,,,,,,,,,,,not_checked_this_run,
delish.com,,,,,,,,,,,,,,,not_checked_this_run,
eatingwell.com,,,,,,,,,,,,,,,not_checked_this_run,
tasteofhome.com,,,,,,,,,,,,,,,not_checked_this_run,
skinnytaste.com,,,,,,,,,,,,,,,not_checked_this_run,
therecipecritic.com,45.0,45.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,ok,33.45
spendwithpennies.com,,,,,,,,,,,,,,,not_checked_this_run,
pinchofyum.com,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,ok,1.03
budgetbytes.com,,,,,,,,,,,,,,,not_checked_this_run,
simplyrecipes.com,,,,,,,,,,,,,,,not_checked_this_run,
wellplated.com,,,,,,,,,,,,,,,not_checked_this_run,
natashaskitchen.com,7.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,ok,0.72
downshiftology.com,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,ok,1.12
gimmesomeoven.com,,,,,,,,,,,,,,,not_checked_this_run,
lecremedelacrumb.com,,,,,,,,,,,,,,,not_checked_this_run,
therealfooddietitians.com,23.0,23.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,ok,14.11
loveandlemons.com,,,,,,,,,,,,,,,not_checked_this_run,
thepioneerwoman.com,,,,,,,,,,,,,,,not_checked_this_run,
cookingclassy.com,,,,,,,,,,,,,,,not_checked_this_run,
iheartnaptime.net,,,,,,,,,,,,,,,not_checked_this_run,
feelgoodfoodie.net,,,,,,,,,,,,,,,not_checked_this_run,
kristineskitchenblog.com,,,,,,,,,,,,,,,not_checked_this_run,
jocooks.com,,,,,,,,,,,,,,,not_checked_this_run,
recipetineats.com,,,,,,,,,,,,,,,not_checked_this_run,
bbcgoodfood.com,,,,,,,,,,,,,,,not_checked_this_run,
seriouseats.com,,,,,,,,,,,,,,,not_checked_this_run,
thekitchn.com,,,,,,,,,,,,,,,not_checked_this_run,
foodandwine.com,,,,,,,,,,,,,,,not_checked_this_run,
ambitiouskitchen.com,,,,,,,,,,,,,,,not_checked_this_run,
eatingbirdfood.com,,,,,,,,,,,,,,,not_checked_this_run,
wholesomeyum.com,,,,,,,,,,,,,,,not_checked_this_run,
dinneratthezoo.com,,,,,,,,,,,,,,,not_checked_this_run,
diethood.com,,,,,,,,,,,,,,,not_checked_this_run,
twopeasandtheirpod.com,,,,,,,,,,,,,,,not_checked_this_run,
platedcravings.com,,,,,,,,,,,,,,,not_checked_this_run,
rachelcooks.com,,,,,,,,,,,,,,,not_checked_this_run,
melskitchencafe.com,,,,,,,,,,,,,,,not_checked_this_run,
