source,targets,fetched,not_modified,verified_recipes,conflicts,missing,errors,http_403,http_429,dom_structure_changes,schema_structure_changes,legacy_backfill_targets,legacy_backfill_resolved,robots_status,status,elapsed_seconds
allrecipes.com,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ok,ok,15.3
foodnetwork.com,,,,,,,,,,,,,,,not_checked_this_run,
delish.com,,,,,,,,,,,,,,,not_checked_this_run,
eatingwell.com,,,,,,,,,,,,,,,not_checked_this_run,
tasteofhome.com,,,,,,,,,,,,,,,not_checked_this_run,
skinnytaste.com,,,,,,,,,,,,,,,not_checked_this_run,
therecipecritic.com,,,,,,,,,,,,,,,not_checked_this_run,
spendwithpennies.com,,,,,,,,,,,,,,,not_checked_this_run,
pinchofyum.com,,,,,,,,,,,,,,,not_checked_this_run,
budgetbytes.com,,,,,,,,,,,,,,,not_checked_this_run,
simplyrecipes.com,,,,,,,,,,,,,,,not_checked_this_run,
wellplated.com,,,,,,,,,,,,,,,not_checked_this_run,
natashaskitchen.com,,,,,,,,,,,,,,,not_checked_this_run,
downshiftology.com,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,ok,1.23
gimmesomeoven.com,,,,,,,,,,,,,,,not_checked_this_run,
lecremedelacrumb.com,,,,,,,,,,,,,,,not_checked_this_run,
therealfooddietitians.com,,,,,,,,,,,,,,,not_checked_this_run,
loveandlemons.com,,,,,,,,,,,,,,,not_checked_this_run,
thepioneerwoman.com,,,,,,,,,,,,,,,not_checked_this_run,
cookingclassy.com,,,,,,,,,,,,,,,not_checked_this_run,
iheartnaptime.net,,,,,,,,,,,,,,,not_checked_this_run,
feelgoodfoodie.net,,,,,,,,,,,,,,,not_checked_this_run,
kristineskitchenblog.com,,,,,,,,,,,,,,,not_checked_this_run,
jocooks.com,,,,,,,,,,,,,,,not_checked_this_run,
recipetineats.com,,,,,,,,,,,,,,,not_checked_this_run,
bbcgoodfood.com,,,,,,,,,,,,,,,not_checked_this_run,
seriouseats.com,,,,,,,,,,,,,,,not_checked_this_run,
thekitchn.com,,,,,,,,,,,,,,,not_checked_this_run,
foodandwine.com,,,,,,,,,,,,,,,not_checked_this_run,
ambitiouskitchen.com,,,,,,,,,,,,,,,not_checked_this_run,
eatingbirdfood.com,,,,,,,,,,,,,,,not_checked_this_run,
wholesomeyum.com,,,,,,,,,,,,,,,not_checked_this_run,
dinneratthezoo.com,,,,,,,,,,,,,,,not_checked_this_run,
diethood.com,77.0,77.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,ok,31.69
twopeasandtheirpod.com,,,,,,,,,,,,,,,not_checked_this_run,
platedcravings.com,,,,,,,,,,,,,,,not_checked_this_run,
rachelcooks.com,,,,,,,,,,,,,,,not_checked_this_run,
melskitchencafe.com,,,,,,,,,,,,,,,not_checked_this_run,
